,date,day,HOBBIES1_CA,HOBBIES1_TX,HOBBIES1_WI,HOBBIES2_CA,HOBBIES2_TX,HOBBIES2_WI,FOODS1_CA,FOODS1_TX,FOODS1_WI,FOODS2_CA,FOODS2_TX,FOODS2_WI,FOODS3_CA,FOODS3_TX,FOODS3_WI,HOUSEHOLD1_CA,HOUSEHOLD1_TX,HOUSEHOLD1_WI,HOUSEHOLD2_CA,HOUSEHOLD2_TX,HOUSEHOLD2_WI
2,2011/2/1,Feb_2011,94004.2,53239.68,54198.81,3364.56,3578.35,2645.37,72308.5,33666.43,40179.5,132051.03,100109.41,73106.53,306250.74,220064.24,184617.25,148902.1,106829.93,102985.72,101260.36,49216.56,43298.43
3,2011/3/1,Mar_2011,104500.86,56330.01,58059.42,5368.65,4752.41,4040.38,67512.65,29159.04,40713.53,133238.7,105712.21,69376.03,339806.69,241038.96,185545.31,175325.27,116854.31,114333.2,108732.95,49733.05,42766.84
4,2011/4/1,Apri_2011,111763.85,63007.88,61351.02,5257.22,5448.77,4095.54,65277.27,28627.58,38349.75,121714.97,93579.11,57595.18,338861.7,244927.63,178109.71,187313.94,118644.36,106586.76,107932.16,48113.04,40856.48
5,2011/5/1,May_2011,114125.03,66659.73,62800.77,6090.78,6328.6,3671.5,62140.9,23519.07,35803.5,123449.33,92615.45,53182.08,331902.15,250921.73,171556.45,177187.01,117377.94,99835.27,111763.88,49540.82,42516.05
6,2011/6/1,June_2011,112827.14,63720.83,59895.7,5313.51,4745.74,3512.6,60725.85,30609.51,34711.76,133521.6,99950.65,57432.62,346707.28,272411.96,187407.32,181076.05,113729.46,109670.59,109777.79,45316.48,38653.58
7,2011/7/1,July_2011,117714.67,69002.47,62543.64,4847.31,4665.63,3141.48,65200.61,31646.82,35858.66,144725.76,107853.23,58314.02,389455.37,299264.45,212016.3,205664.33,119899.43,114925.78,118422.03,46973.97,39718.8
8,2011/8/1,Aug_2011,107255.95,61567.9,58040.96,4560.84,4874.44,3193.49,57889.74,33870.3,32653.62,142096.89,110750.39,59298.29,400527.65,321305.77,202063.39,210235.53,119671.89,112018.83,113976.85,47678.1,38311.77
9,2011/9/1,Sep_2011,101705.41,55961.1,57740.08,3938.91,4729.74,2443.7,61691.73,37567.66,37772.54,134254.72,104886.61,60974.93,405081.62,299740.76,193168.62,210327.25,122960.63,123915.06,108984.15,46228.87,36581.44
10,2011/10/1,Oct_2011,108567.5,59902.65,56631.8,5371.3,6465.8,3671.17,77062.68,42865.76,38474.63,142059.87,111111.28,62038.26,447433.87,318874.48,219612.68,217931.23,134041.19,127959.21,113356.63,51556.05,38449.9
11,2011/11/1,Nov_2011,97032.33,53361.43,48967.05,4478.29,5624.64,3294.32,65697.39,38830.52,36023.44,131056.69,105982.37,60816.82,405902.7,279551.28,206192.11,189064.1,126461.71,112986.5,110170.14,47070,35154.17
12,2011/12/1,Dec_2011,110847.69,58153.04,58408.62,5178.33,5086.47,3678.81,88863.18,50144.76,47481.44,147619.35,116197,68153.14,439231.58,294818.18,228522.33,180607.62,124742.7,110687.53,114190.26,49677.41,38311.58
13,2012/1/1,Jan_2012,107450.92,59246.38,56503.19,4972.26,4628.24,2762.46,75095.05,48668.19,44359.33,167551.89,117546.7,78586.77,446620.22,286975.81,224962.67,195970.72,133336.15,119390.77,113288.25,48941.2,37789.45
14,2012/2/1,Feb_2012,108255.51,63111.43,56707.53,6027.97,5281.43,3980.51,85137.86,50982.41,51168.27,165532.89,117584.46,73484.32,457445.73,290020.8,222689.62,203378.89,148302.97,135363.34,121616.35,57835.11,47575.63
15,2012/3/1,Mar_2012,117054.4,72479.26,66265.45,6918.77,4714.24,3870.7,89705.97,51237.86,49710.8,161626.5,114160.65,60552.62,527227.24,354918.98,254008.51,224479.14,152773.07,140098.08,130932.53,57912.99,46239.59
16,2012/4/1,Apri_2012,113324.06,74511.88,62688.82,5151.22,4619.86,3132.28,86001.89,48073.97,49186.73,141029.55,101117.82,50810.6,515826.16,363431.86,237507.08,205129.57,149653.3,121830.38,123133.16,53784.39,43396.73
17,2012/5/1,May_2012,113470.39,76430.85,67118.68,6072.32,5774.53,3525.75,86857.26,48496.23,46590.98,136599.18,101870.2,65943.27,553664.84,386347.56,278964.55,205971.29,152528.38,130060.35,119783.21,50719.3,41666.27
18,2012/6/1,June_2012,124661.56,81076.34,71452.52,5132.65,4772.7,3308.98,93640.8,49235.09,46594.18,141994.75,108514.14,86806.29,550019.08,383316.68,319582.82,236366.19,166661.69,154763.28,127089.68,54775.3,47570.7
19,2012/7/1,July_2012,133526.24,92017.32,76619.06,5656.74,4739.91,3339.71,95898.31,51846.67,48260.81,151888.2,121003.13,101660.51,533908.16,353088.82,318597.62,250920.28,167461.57,153737.98,125314.95,53337.11,44754.68
20,2012/8/1,Aug_2012,130521.62,90105.75,74914.72,5788,6094.84,3874.8,107651.85,52621.82,60100.48,139430.72,112735.44,101056.96,565215.93,360271.5,278552.56,273892.44,188411.75,183646.7,125507.99,56737.64,46075.71
21,2012/9/1,Sep_2012,127260.02,87452.14,76615.83,6134.03,6192.01,4122.79,106911.43,52128.63,62315.12,141101.4,113367.94,109776.35,514541.85,328657.88,268345.37,280398.02,209129.35,189769.82,125110.65,55428.62,41127.65
22,2012/10/1,Oct_2012,131233.28,87759.15,77309.43,6384.37,6606.94,4064.02,101468.32,53816.82,57361.19,127709.94,105057.93,100444.57,463040.31,313911.7,262292.85,272784.49,196213.2,176952.81,116409.31,52344.15,35699.5
23,2012/11/1,Nov_2012,126112.66,84954.95,78998.95,4892.71,5051.1,4216.95,87683.67,48836.12,49311.63,135783.45,96914.66,130325.94,409644.14,288556.35,298978.89,252529.13,179990.82,181960.23,105051.64,48281.38,43804.22
24,2012/12/1,Dec_2012,140713.24,96606.52,86389.97,6024.36,4835.61,4559.51,103362.15,65964.19,61301.08,135417.87,98330.87,130893.57,449405.83,317226.83,334184.79,260517.77,185938.85,176624.24,106618.47,50072.31,44645.92
